Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,281.070007,283.059998,252.919998,271.649994,249.410904,2923722000
2018-03-01,271.410004,280.410004,257.829987,263.149994,241.606720,2323561800
2018-04-01,262.549988,271.299988,254.669998,264.510010,243.828018,1998466500
2018-05-01,263.869995,274.250000,259.049988,270.940002,249.755356,1606397200
2018-06-01,272.410004,279.480011,268.489990,271.279999,250.068726,1599001000
2018-07-01,269.510010,284.369995,269.239990,281.329987,260.497437,1266892500
2018-08-01,281.559998,291.739990,279.160004,290.309998,268.812347,1308443700
2018-09-01,289.839996,293.940002,286.709991,290.720001,269.192078,1228103300
2018-10-01,292.109985,293.209991,259.850006,270.630005,251.724121,3024345800
2018-11-01,271.600006,281.220001,263.070007,275.649994,256.393372,2021061200
2018-12-01,280.279999,280.399994,233.759995,249.919998,232.460876,3102780500
2019-01-01,245.979996,270.470001,243.669998,269.929993,252.539200,2048691700
2019-02-01,270.149994,281.309998,267.829987,278.679993,260.725403,1371716300
2019-03-01,280.440002,285.179993,272.420013,282.480011,264.280609,1678081300
2019-04-01,284.700012,294.450012,284.399994,294.019989,276.288818,1209204700
2019-05-01,294.720001,294.950012,275.239990,275.269989,258.669495,1845593200
2019-06-01,275.309998,296.309998,273.089996,293.000000,275.330261,1340435600
2019-07-01,296.679993,302.230011,294.329987,297.429993,280.852509,1110102300
2019-08-01,297.600006,300.869995,281.720001,292.450012,276.150085,2034004800
2019-09-01,290.570007,302.630005,289.269989,296.769989,280.229248,1303830000
2019-10-01,297.739990,304.549988,284.820007,303.329987,287.746338,1386748300
2019-11-01,304.920013,315.480011,304.739990,314.309998,298.162323,1037123500
2019-12-01,314.589996,323.799988,307.130005,321.859985,305.324371,1285175800
2020-01-01,323.540009,332.950012,320.359985,321.730011,306.701599,1392003800
2020-02-01,323.350006,339.079987,285.540009,296.260010,282.421387,2110214900
2020-03-01,298.209991,313.839996,218.259995,257.750000,245.710175,5926017600
2020-04-01,247.979996,294.880005,243.899994,290.480011,278.539642,2819312300
2020-05-01,285.309998,306.839996,272.989990,304.320007,291.810699,1910460500
2020-06-01,303.619995,323.410004,296.739990,308.359985,295.684662,2358674500
2020-07-01,309.570007,327.230011,309.070007,326.519989,314.475952,1505145300
2020-08-01,328.320007,351.299988,327.730011,349.309998,336.425354,1045563300
2020-09-01,350.209991,358.750000,319.799988,334.890015,322.537262,1814712700
2020-10-01,337.690002,354.019989,322.600006,326.540009,315.754181,1629016100
2020-11-01,330.200012,364.380005,327.239990,362.059998,350.100952,1535244300
2020-12-01,365.570007,378.459991,362.029999,373.880005,361.530518,1344541500
2021-01-01,375.309998,385.850006,364.820007,370.070007,359.371765,1402265400
2021-02-01,373.720001,394.170013,370.380005,380.359985,369.364197,1307806200
2021-03-01,385.589996,398.119995,371.880005,396.329987,384.872559,2401715800
2021-04-01,398.399994,420.720001,398.179993,417.299988,406.563599,1462106600
2021-05-01,419.429993,422.820007,404.000000,420.040009,409.233124,1547235900
2021-06-01,422.570007,428.779999,414.700012,428.059998,417.046753,1282152400
2021-07-01,428.869995,441.799988,421.970001,438.510010,428.625641,1422104700
2021-08-01,440.339996,453.070007,436.100006,451.559998,441.381470,1254001400
2021-09-01,452.559998,454.049988,428.779999,429.140015,419.466858,1745559600
2021-10-01,430.980011,459.559998,426.359985,459.250000,450.336273,1508665200
2021-11-01,460.299988,473.540009,455.299988,455.559998,446.717865,1335351500
2021-12-01,461.640015,479.000000,448.920013,474.959991,465.741302,1927433900
2022-01-01,476.299988,479.980011,420.760010,449.910004,442.727509,2485167800
2022-02-01,450.679993,458.119995,410.640015,436.630005,429.659485,2297975100
2022-03-01,435.040009,462.070007,415.119995,451.640015,444.429901,2380929500
2022-04-01,453.309998,457.829987,411.209991,412.000000,406.682190,1856757400
2022-05-01,412.070007,429.660004,380.540009,412.929993,407.600189,2418478100
2022-06-01,415.170013,417.440002,362.170013,377.250000,372.380707,1958611900
2022-07-01,376.559998,413.029999,371.040009,411.989990,408.429016,1437748400
2022-08-01,409.149994,431.730011,395.040009,395.179993,391.764313,1443394400
2022-09-01,392.890015,411.730011,357.040009,357.179993,354.092743,1998908600
2022-10-01,361.079987,389.519989,348.109985,386.209991,384.444611,2024732000
2022-11-01,390.140015,407.679993,368.790009,407.679993,405.816467,1745985300
2022-12-01,408.769989,410.489990,374.769989,382.429993,380.681885,1735587800
2023-01-01,384.369995,386.429993,377.829987,380.820007,380.820007,74681600
